SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,OPPPONENTS
22014,977,21400104,"NOV 11, 2014",LAL @ MEM,L,37,10,26,0.385,3,10,0.3,5,6,0.833,1,6,7,6,4,0,3,3,28,8,1,MEM
22014,977,21400097,"NOV 09, 2014",LAL vs. CHA,W,34,7,20,0.35,1,5,0.2,6,7,0.857,0,6,6,4,1,0,4,1,21,7,1,CHA
22014,977,21400056,"NOV 04, 2014",LAL vs. PHX,L,44,14,37,0.378,3,7,0.429,8,12,0.667,3,6,9,1,1,1,3,0,39,-5,1,PHX
22014,977,21400038,"NOV 01, 2014",LAL @ GSW,L,36,12,28,0.429,1,6,0.167,3,6,0.5,1,5,6,1,2,0,7,3,28,-30,1,GSW
22014,977,21400026,"OCT 31, 2014",LAL vs. LAC,L,35,6,15,0.4,1,5,0.2,8,11,0.727,0,4,4,7,2,0,3,5,21,-9,1,LAC
22014,977,21400013,"OCT 29, 2014",LAL @ PHX,L,28,11,25,0.44,2,4,0.5,7,7,1,1,3,4,3,2,0,2,2,31,-26,1,PHX
22014,977,21400003,"OCT 28, 2014",LAL vs. HOU,L,29,6,17,0.353,0,1,0,7,8,0.875,0,3,3,2,1,0,1,5,19,-11,1,HOU
22013,977,21300366,"DEC 17, 2013",LAL @ MEM,W,33,9,18,0.5,1,1,1,2,2,1,1,4,5,4,1,1,4,1,21,2,1,MEM
22013,977,21300357,"DEC 16, 2013",LAL @ ATL,L,32,4,14,0.286,0,5,0,0,1,0,0,3,3,6,2,0,5,1,8,-4,1,ATL
22013,977,21300342,"DEC 14, 2013",LAL @ CHA,W,32,8,15,0.533,2,5,0.4,3,3,1,0,7,7,8,0,0,7,1,21,5,1,CHA
22013,977,21300336,"DEC 13, 2013",LAL @ OKC,L,23,2,6,0.333,0,0,0,0,0,0,0,1,1,13,2,0,7,1,4,-16,1,OKC
22013,977,21300317,"DEC 10, 2013",LAL vs. PHX,L,29,6,11,0.545,0,2,0,8,8,1,0,2,2,3,0,0,3,2,20,-3,1,PHX
22013,977,21300303,"DEC 08, 2013",LAL vs. TOR,L,28,2,9,0.222,0,3,0,5,7,0.714,1,7,8,4,2,0,8,3,9,-16,1,TOR
22012,977,21201189,"APR 12, 2013",LAL vs. GSW,W,45,9,21,0.429,4,8,0.5,12,16,0.75,0,5,5,4,0,0,5,3,34,0,1,GSW
22012,977,21201171,"APR 10, 2013",LAL @ POR,W,48,14,27,0.519,1,5,0.2,18,18,1,0,8,8,5,3,4,1,4,47,7,1,POR
22012,977,21201162,"APR 09, 2013",LAL vs. NOH,W,41,9,18,0.5,2,7,0.286,10,11,0.909,1,5,6,6,5,1,5,2,30,7,1,NOP
22012,977,21201146,"APR 07, 2013",LAL @ LAC,L,47,6,19,0.316,1,5,0.2,12,14,0.857,1,6,7,10,0,0,4,3,25,-14,1,LAC
22012,977,21201137,"APR 05, 2013",LAL vs. MEM,W,43,10,23,0.435,0,5,0,4,4,1,0,5,5,9,1,0,4,3,24,6,1,MEM
22012,977,21201110,"APR 02, 2013",LAL vs. DAL,W,47,8,18,0.444,0,3,0,7,8,0.875,1,10,11,11,4,2,4,3,23,20,1,DAL
22012,977,21201093,"MAR 30, 2013",LAL @ SAC,W,48,5,18,0.278,0,4,0,9,11,0.818,1,8,9,14,2,0,1,2,19,5,1,SAC
